1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


803
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


804
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


805
RBK 	['iMM904 rib_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 r5p_c', 'iMM904 h_c', 'iMM904 adp_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']


806
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']


807
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PFK_3 	['iMM904 s7p_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 s17bp_c', 'iMM904 adp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA3 	['iMM904 s17bp_c'] 	['iMM904 dhap_c', 'iMM904 e4p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


808
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PFK_3 	['iMM904 s7p_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 s17bp_c', 'iMM904 adp_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA3 	['iMM904 s17bp_c'] 	['iMM904 dhap_c', 'iMM904 e4p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


809
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


810
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


811
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 g3p_c', 'iMM904 f6p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


812
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


813
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 g3p_c', 'iMM904 f6p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


814
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
L_DASH_LACt2r 	['iMM904 h_c', 'iMM904 lac_DASH_L_c'] 	['iMM904 lac_DASH_L_e', 'iMM904 h_e']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PFK_3 	['iMM904 s7p_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 s17bp_c', 'iMM904 adp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
MGSA 	['iMM904 dhap_c'] 	['iMM904 mthgxl_c', 'iMM904 pi_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
FBA3 	['iMM904 s17bp_c'] 	['iMM904 dhap_c', 'iMM904 e4p_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
LCADi 	['iMM904 h2o_c', 'iMM904 lald_DASH_L_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 lac_DASH_L_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
TKT2 	['iMM904 xu5p_DASH_D_c', 'iMM904 e4p_c'] 	['iMM904 g3p_c', 'iMM904 f6p_c']
LALDO3 	['iMM904 mthgxl_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 lald_DASH_L_c']
