1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
G6PI 	['iMM904 g6p_DASH_B_c'] 	['iMM904 g6p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


161
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
G6PI 	['iMM904 g6p_DASH_B_c'] 	['iMM904 g6p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


162
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
G6PI 	['iMM904 g6p_DASH_B_c'] 	['iMM904 g6p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


163
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
G6PI 	['iMM904 g6p_DASH_B_c'] 	['iMM904 g6p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


164
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
SBTD_D2 	['iMM904 sbt_DASH_D_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 fru_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
SBTR 	['iMM904 glc_DASH_D_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 sbt_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HEX7 	['iMM904 atp_c', 'iMM904 fru_c'] 	['iMM904 h_c', 'iMM904 f6p_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


165
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
SBTD_D2 	['iMM904 sbt_DASH_D_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 fru_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
SBTR 	['iMM904 glc_DASH_D_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 sbt_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HEX7 	['iMM904 atp_c', 'iMM904 fru_c'] 	['iMM904 h_c', 'iMM904 f6p_c', 'iMM904 adp_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


166
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
SBTD_D2 	['iMM904 sbt_DASH_D_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 fru_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
SBTR 	['iMM904 glc_DASH_D_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 sbt_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HEX7 	['iMM904 atp_c', 'iMM904 fru_c'] 	['iMM904 h_c', 'iMM904 f6p_c', 'iMM904 adp_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


167
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
SBTD_D2 	['iMM904 sbt_DASH_D_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 fru_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
SBTR 	['iMM904 glc_DASH_D_c', 'iMM904 h_c', 'iMM904 nadph_c'] 	['iMM904 nadp_c', 'iMM904 sbt_DASH_D_c']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HEX7 	['iMM904 atp_c', 'iMM904 fru_c'] 	['iMM904 h_c', 'iMM904 f6p_c', 'iMM904 adp_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


168
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
G6PI3 	['iMM904 f6p_c'] 	['iMM904 g6p_DASH_B_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']


169
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
G6PI3 	['iMM904 f6p_c'] 	['iMM904 g6p_DASH_B_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']


170
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
G6PI3 	['iMM904 f6p_c'] 	['iMM904 g6p_DASH_B_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']


171
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
G6PI3 	['iMM904 g6p_DASH_B_c'] 	['iMM904 f6p_c']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
CO2tn 	['iMM904 co2_c'] 	['iMM904 co2_n']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
GLUK 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 g6p_DASH_B_c', 'iMM904 adp_c']
G6PI3 	['iMM904 f6p_c'] 	['iMM904 g6p_DASH_B_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']


172
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGI 	['iMM904 f6p_c'] 	['iMM904 g6p_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
HCO3En 	['iMM904 h2o_n', 'iMM904 co2_n'] 	['iMM904 h_n', 'iMM904 hco3_n']
PIt2n 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_n', 'iMM904 pi_n']
HCO3En 	['iMM904 h_n', 'iMM904 hco3_n'] 	['iMM904 h2o_n', 'iMM904 co2_n']
H2Otn 	['iMM904 h2o_c'] 	['iMM904 h2o_n']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
HEX1 	['iMM904 glc_DASH_D_c', 'iMM904 atp_c'] 	['iMM904 g6p_c', 'iMM904 h_c', 'iMM904 adp_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
HCO3tn 	['iMM904 hco3_n'] 	['iMM904 hco3_c']
FBA 	['iMM904 fdp_c'] 	['iMM904 dhap_c', 'iMM904 g3p_c']
PFK 	['iMM904 f6p_c', 'iMM904 atp_c'] 	['iMM904 fdp_c', 'iMM904 h_c', 'iMM904 adp_c']
HCO3tn 	['iMM904 hco3_c'] 	['iMM904 hco3_n']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


173
glc_DASH_D_e 	['glc_DASH_D_e'] 	['iMM904 glc_DASH_D_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGI 	['iMM904 f6p_c'] 	['iMM904 g6p_c']
PGI 	['iMM904 g6p_c'] 	['iMM904 f6p_c']
GLCt1 	['iMM904 glc_DASH_D_e'] 	['iMM904 glc_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
